Comment,Designator,Footprint,LCSC,Quantity
2.2uH,L1,L_0805_2012Metric,C1043,1
MCP73831-2-OT,U1,SOT-23-5,C14879,1
36.5k,R21,R_0402_1005Metric,C15011,1
TPS63900,U2,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,C1518762,1
D,"D1,D2",D_SOD-323,C191023,2
4.7u,C8,C_0603_1608Metric,C19666,1
KCSA02-105,"Dig1,Dig2,Dig3,Dig4",KCSC02-105,C22462656,4
SW_Push,"SW1,SW3,SW4",SW_SPST_B3U-1000P,C231329,3
150,"R13,R14,R15,R16,R6,R7,R8,R9",R_0402_1005Metric,C25082,8
220,R4,R_0402_1005Metric,C25091,1
390,"R17,R18,R19,R20",R_0402_1005Metric,C25109,4
10k,R5,R_0402_1005Metric,C25744,1
27k,R1,R_0402_1005Metric,C25771,1
5.1k,"R2,R3",R_0402_1005Metric,C25905,2
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2988369,1
32768Hz,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,1
10pF,"C10,C9",C_0402_1005Metric,C32949,2
LED,D3,LED_0402_1005Metric,C33115,1
1uF,"C1,C5,C6,C7",C_0402_1005Metric,C52923,4
2N3906,"Q1,Q2,Q3,Q4",SOT-23,C5300004,4
22uF,C_OUT1,C_0603_1608Metric,C59461,1
ATSAMD21E18A-A,U7,TQFP-32_7x7mm_P0.8mm,C618770,1
10uF,C_IN1,C_0603_1608Metric,C96446,1
